Radius 	; Force 	; Break frame
5 		; 0.008		; 100
5 		; 0.009		; 100
5		; 0.010		; 69
5		; 0.011		; 53
5		; 0.012		; 35
5		; 0.013		; 35
5		; 0.015		; 26
5		; 0.016		; 19
5		; 0.020		; 20
10		; 0.005		; 100
10		; 0.006		; 100
10		; 0.007     ; 99
10		; 0.008     ; 79
10		; 0.009     ; 64
10		; 0.010     ; 68
10		; 0.011     ; 54
10		; 0.012     ; 46
10		; 0.013     ; 53
10		; 0.015     ; 45
15		; 0.006		; 59
15		; 0.007		; 60
15		; 0.008		; 55
15		; 0.009		; 48
15		; 0.010		; 39
20		; 0.004		; 100
20		; 0.005		; 77
20		; 0.006		; 83
20		; 0.007		; 75
20		; 0.008		; 59
20		; 0.009		; 59
25		; 0.005		; 72
25		; 0.006		; 76
25		; 0.005		; 59
25		; 0.007		; 96
25		; 0.008		; 72
25		; 0.009		; 62
25		; 0.010		; 58
30		; 0.007		; 100
30		; 0.008		; 96
30		; 0.009		; 69
30		; 0.010		; 60
